duration	 protocol_type	 service	 flag	 src_bytes	 dst_bytes	 land	 wrong_fragment	 urgent	 hot	 num_failed_logins	 logged_in	 num_compromised	 root_shell	 su_attempted	 num_root	 num_file_creations	 num_shells	 num_access_files	 num_outbound_cmds	 is_host_login	 is_guest_login	 count	 srv_count	 serror_rate	 srv_error_rate	 rerror_rate	 srv_rerror_rate	 same_srv_rate	 diff_srv_rate	 srv_diff_host_rate	 dst_host_count	 dst_host_srv_count	 dst_host_same_srv_rate	 dst_host_diff_srv_rate	 dst_host_same_src_port_rate	 dst_host_srv_diff_host_rate	 dst_host_serror_rate	 dst_host_srv_serror_rate	 dst_host_rerror_rate	 dst_host_srv_rerror_rate	0.0026	0	0.07	0.3	0.00116	0.00451	0.4	0.5	0.6	0.2	0.7	0.1	0.8	0.9	0.1	0.11	 0.1.1	0.12	 0.1.2	0.13	0.14	 0.1.3	0.001	 0.001.1	0.15	0.16	0.17	0.18	 0.1.4	0.19	0.2	 0.001.2	 0.001.3
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.001	0.05	0.1	0	0	0.05	0.1	0	0.001	0.002	0.1	0	0.1	0.1	0.1	0.05	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.002	0.067	0.1	0	0	0.067	0.067	0	0.002	0.003	0.1	0	0.05	0.067	0.1	0.067	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.003	0.075	0.1	0	0	0.075	0.05	0	0.003	0.004	0.1	0	0.033	0.05	0.1	0.075	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.004	0.08	0.1	0	0	0.08	0.04	0	0.004	0.005	0.1	0	0.025	0.04	0.1	0.08	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.005	0.083	0.1	0	0	0.083	0.033	0	0.005	0.006	0.1	0	0.02	0.033	0.1	0.083	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.006	0.086	0.1	0	0	0.086	0.029	0	0.006	0.007	0.1	0	0.017	0.029	0.1	0.086	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.007	0.088	0.1	0	0	0.088	0.025	0	0.007	0.008	0.1	0	0.014	0.025	0.1	0.088	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.008	0.089	0.1	0	0	0.089	0.022	0	0.008	0.009	0.1	0	0.012	0.022	0.1	0.089	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.009	0.09	0.1	0	0	0.09	0.02	0	0.009	0.01	0.1	0	0.011	0.02	0.1	0.09	0	0																																	
0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0.01	0.091	0.1	0	0	0.091	0.018	0	0.01	0.011	0.1	0	0.01	0.018	0.1	0.091	0	0																																	
